EVENTO;ITENS;CATEGORIA;VALOR
ALMOÇO EM BUFFET - VIP;BEBIDAS NÃO ALCOÓLICAS;; R$ 209,00 
ALMOÇO EM BUFFET - VIP;Água + Refri;BEBIDAS NÃO ALCOÓLICAS;
ALMOÇO EM BUFFET - VIP;Suco;BEBIDAS NÃO ALCOÓLICAS;
ALMOÇO EM BUFFET - VIP;SUCOS;;
ALMOÇO EM BUFFET - VIP;Laranja com Fruta da Época;SUCOS;
ALMOÇO EM BUFFET - VIP;Abacaxi com Hortelã;SUCOS;
ALMOÇO EM BUFFET - VIP;Frutas Amarelas (Abacaxi com Maracujá ou outra fruta da estação);SUCOS;
ALMOÇO EM BUFFET - VIP;Limão com Hortelã e Gengibre;SUCOS;
ALMOÇO EM BUFFET - VIP;Caju;SUCOS;
ALMOÇO EM BUFFET - VIP;Uva;SUCOS;
ALMOÇO EM BUFFET - VIP;Limão;SUCOS;
ALMOÇO EM BUFFET - VIP;Laranja;SUCOS;
ALMOÇO EM BUFFET - VIP;Iced Tea de Pêssego;SUCOS;
ALMOÇO EM BUFFET - VIP;Iced Tea de Cranberry;SUCOS;
ALMOÇO EM BUFFET - VIP;Iced Tea de Limão;SUCOS;
ALMOÇO EM BUFFET - VIP;SALADAS (1 opção);;
ALMOÇO EM BUFFET - VIP;Salada Caprese (Tomate Mussarela de Búfala e Folhas de Manjericão);SALADAS;
ALMOÇO EM BUFFET - VIP;Salada Grega (Tomate Pepino em Cubos Azeitona Preta Cebola Roxa Queijo de Cabra Orégano e Azeite Extra Virgem);SALADAS;
ALMOÇO EM BUFFET - VIP;Ceviche Vegano de Pupunha com Zuchinni Avelãs Maçã Verde e Melaço;SALADAS;
ALMOÇO EM BUFFET - VIP;Salada Caesar com Lascas de Peito de Frango;SALADAS;
ALMOÇO EM BUFFET - VIP;Mix de Verdes com Radíchio Tomate Sweet e Nozes com Dressing de Balsâmico com Mel;SALADAS;
ALMOÇO EM BUFFET - VIP;Tartar Vegano de Tomate com Legumes e Azeite de Manjericão;SALADAS;
ALMOÇO EM BUFFET - VIP;Salada de Beterraba com Redução de Balsâmico Chèvre e Nozes Caramelizadas;SALADAS;
ALMOÇO EM BUFFET - VIP;Salada de Quinoa com Frutas Secas e Nuts;SALADAS;
