EVENTO;ITENS;CATEGORIA;VALOR
ALMOÇO EM BUFFET – STANDARD;BEBIDAS NÃO ALCOÓLICAS;; R$ 149,00 
ALMOÇO EM BUFFET – STANDARD;Água + Refri;BEBIDAS NÃO ALCOÓLICAS;
ALMOÇO EM BUFFET – STANDARD;1 Suco;BEBIDAS NÃO ALCOÓLICAS;
ALMOÇO EM BUFFET – STANDARD;SUCOS (1 opção);;
ALMOÇO EM BUFFET – STANDARD;Laranja;SUCOS;
ALMOÇO EM BUFFET – STANDARD;Abacaxi;SUCOS;
ALMOÇO EM BUFFET – STANDARD;Uva;SUCOS;
ALMOÇO EM BUFFET – STANDARD;Limão;SUCOS;
ALMOÇO EM BUFFET – STANDARD;Iced Tea de Pêssego;SUCOS;
ALMOÇO EM BUFFET – STANDARD;Iced Tea de Cranberry;SUCOS;
ALMOÇO EM BUFFET – STANDARD;Iced Tea de Limão;SUCOS;
ALMOÇO EM BUFFET – STANDARD;SALADAS (1 opção);;
ALMOÇO EM BUFFET – STANDARD;Rúcula com Mussarelinhas de Búfala e Tomate Seco;SALADAS;
ALMOÇO EM BUFFET – STANDARD;Alface Americana, Tirinhas de Frango e Croutons, acompanha Dressing de Mostarda Dijon;SALADAS;
ALMOÇO EM BUFFET – STANDARD;Couscous Marroquino com Medalhões de Pupunha e Legumes Crocantes;SALADAS;
ALMOÇO EM BUFFET – STANDARD;Abóbora Kabotia, Queijo, Agrião e Molho Pesto;SALADAS;
ALMOÇO EM BUFFET – STANDARD;Grão de Bico com Cebola Roxa e Tomate Seco;SALADAS;
ALMOÇO EM BUFFET – STANDARD;Tabule com Tomate Concassé, Hortelã e Cebola Roxa;SALADAS;
ALMOÇO EM BUFFET – STANDARD;Salada de Verdes com Lascas de Atum, Cebola Roxa, Tomate, Batata Palha e Molho Mostarda;SALADAS;
ALMOÇO EM BUFFET – STANDARD;Alface Crespa, Tomate e Cebola Roxa com Dressing de Mostarda e Limão;SALADAS;
ALMOÇO EM BUFFET – STANDARD;Salada Fria de Beterraba com Ervas Frescas;SALADAS;
ALMOÇO EM BUFFET – STANDARD;PRATOS PRINCIPAIS (1 opção);;
ALMOÇO EM BUFFET – STANDARD;Picadinho de Carne ao Molho Roti;PRATOS PRINCIPAIS;
ALMOÇO EM BUFFET – STANDARD;Lâminas de Carne Acebolada;PRATOS PRINCIPAIS;
ALMOÇO EM BUFFET – STANDARD;Escalopes de Carne Grelhada com Chimichurri;PRATOS PRINCIPAIS;
ALMOÇO EM BUFFET – STANDARD;Strogonoff de Carne, servido com Batata Palha;PRATOS PRINCIPAIS;
ALMOÇO EM BUFFET – STANDARD;Maminha Assada ao Molho de Mix de Mostardas;PRATOS PRINCIPAIS;
ALMOÇO EM BUFFET – STANDARD;Maminha Assada com Manteiga de Ervas;PRATOS PRINCIPAIS;
ALMOÇO EM BUFFET – STANDARD;Escalopinhos de Carne ao Molho Mostarda;PRATOS PRINCIPAIS;
ALMOÇO EM BUFFET – STANDARD;Strogonoff de Frango com Batata Palha;PRATOS PRINCIPAIS;
ALMOÇO EM BUFFET – STANDARD;Filé de Frango com Creme Milho;PRATOS PRINCIPAIS;
ALMOÇO EM BUFFET – STANDARD;Filé de Coxa e Sobrecoxa de Frango ao Molho de Tangerina;PRATOS PRINCIPAIS;
ALMOÇO EM BUFFET – STANDARD;Lombo Suíno em Crosta de Ervas;PRATOS PRINCIPAIS;
ALMOÇO EM BUFFET – STANDARD;Saint Peter ao Molho de Alcaparras e Manteiga;PRATOS PRINCIPAIS;
ALMOÇO EM BUFFET – STANDARD;Tartar de Legumes com Chips e Azeite de Manjericão (vegano);PRATOS PRINCIPAIS;
ALMOÇO EM BUFFET – STANDARD;Polenta Cremosa finalizada no Azeite com Cogumelos e Legumes da Estação Braseados (vegano);PRATOS PRINCIPAIS;
ALMOÇO EM BUFFET – STANDARD;Bobó Vegano de Abóbora com Cogumelos (vegano);PRATOS PRINCIPAIS;
ALMOÇO EM BUFFET – STANDARD;ACOMPANHAMENTOS (2 opções);;
ALMOÇO EM BUFFET – STANDARD;Purê de Batata;ACOMPANHAMENTOS ;
ALMOÇO EM BUFFET – STANDARD;Purê Rústico de Cenoura;ACOMPANHAMENTOS ;
ALMOÇO EM BUFFET – STANDARD;Legumes da Estação Braseados com Ervas;ACOMPANHAMENTOS ;
ALMOÇO EM BUFFET – STANDARD;Risoto de Parmesão;ACOMPANHAMENTOS ;
ALMOÇO EM BUFFET – STANDARD;Risoto de Zuchinni com Azeite de Limão Siciliano;ACOMPANHAMENTOS ;
ALMOÇO EM BUFFET – STANDARD;Penne com Ragú de Linguicinha;ACOMPANHAMENTOS ;
ALMOÇO EM BUFFET – STANDARD;Couve Refogada com Alho Torradinho;ACOMPANHAMENTOS ;
ALMOÇO EM BUFFET – STANDARD;Couve-Flor Grelhada e Gratinada;ACOMPANHAMENTOS ;
ALMOÇO EM BUFFET – STANDARD;Feijão Temperadinho (com bacon ou paio);ACOMPANHAMENTOS ;
ALMOÇO EM BUFFET – STANDARD;Feijão da Mama (vegano);ACOMPANHAMENTOS ;
ALMOÇO EM BUFFET – STANDARD;Arroz Branco;ACOMPANHAMENTOS ;
ALMOÇO EM BUFFET – STANDARD;Arroz Integral;ACOMPANHAMENTOS ;
ALMOÇO EM BUFFET – STANDARD;Arroz com Brócolis;ACOMPANHAMENTOS ;
ALMOÇO EM BUFFET – STANDARD;Farofinha de Mandioca Tostada com Bacon e Cheiro Verde;ACOMPANHAMENTOS ;
ALMOÇO EM BUFFET – STANDARD;SOBREMESAS (1 opção);;
ALMOÇO EM BUFFET – STANDARD;Pudim de Leite Condensado;SOBREMESAS;
ALMOÇO EM BUFFET – STANDARD;Torta de Chocolate;SOBREMESAS;
ALMOÇO EM BUFFET – STANDARD;Mousse de Chocolate;SOBREMESAS;
ALMOÇO EM BUFFET – STANDARD;Merengue de Frutas Tropicais;SOBREMESAS;
ALMOÇO EM BUFFET – STANDARD;Brownie de Chocolate com Doce de Leite;SOBREMESAS;
ALMOÇO EM BUFFET – STANDARD;Cocada Cremosa;SOBREMESAS;
ALMOÇO EM BUFFET – STANDARD;Torta de Limão;SOBREMESAS;
ALMOÇO EM BUFFET – STANDARD;Torta de Pêra VEGAN;SOBREMESAS;
ALMOÇO EM BUFFET – STANDARD;Frutas da Estação (laminadas ou cubos);FRUTAS DA ESTAÇÃO;
