EVENTO;ITENS;CATEGORIA;VALOR
ALMOÇO EMPRATADO – 3 TEMPOS;Água + Refri;BEBIDAS NÃO ALCOÓLICAS; R$ 219,00 
ALMOÇO EMPRATADO – 3 TEMPOS;1 Suco;BEBIDAS NÃO ALCOÓLICAS;
ALMOÇO EMPRATADO – 3 TEMPOS;SUCOS (escolher 1 opção);;
ALMOÇO EMPRATADO – 3 TEMPOS;Laranja com Fruta da Época;SUCOS;
ALMOÇO EMPRATADO – 3 TEMPOS;Abacaxi com Manjericão;SUCOS;
ALMOÇO EMPRATADO – 3 TEMPOS;Limão com Hortelã e Gengibre;SUCOS;
ALMOÇO EMPRATADO – 3 TEMPOS;Laranja com Morango;SUCOS;
ALMOÇO EMPRATADO – 3 TEMPOS;Laranja com Acerola;SUCOS;
ALMOÇO EMPRATADO – 3 TEMPOS;Caju;SUCOS;
ALMOÇO EMPRATADO – 3 TEMPOS;Uva;SUCOS;
ALMOÇO EMPRATADO – 3 TEMPOS;Limão;SUCOS;
ALMOÇO EMPRATADO – 3 TEMPOS;Maracujá com Abacaxi e Limão;SUCOS;
ALMOÇO EMPRATADO – 3 TEMPOS;Amora com Limão;SUCOS;
ALMOÇO EMPRATADO – 3 TEMPOS;ENTRADAS (escolher 1 opção);;
ALMOÇO EMPRATADO – 3 TEMPOS;Mix de Verdes com Radíchio, Tomate Sweet e Nozes com Dressing de Balsâmico com Mel;ENTRADAS;
ALMOÇO EMPRATADO – 3 TEMPOS;Caprese: Tomate, Mussarela de Búfala, Manjericão;ENTRADAS;
ALMOÇO EMPRATADO – 3 TEMPOS;Couscous Marroquino com Pupunha e Azeite Lemon;ENTRADAS;
ALMOÇO EMPRATADO – 3 TEMPOS;Tartar Vegetariano de Tomate, Brunoise de Legumes Crocantes, Chévre, Azeite de Manjericão e Chips de Raízes;ENTRADAS;
ALMOÇO EMPRATADO – 3 TEMPOS;Toast de Burrata com Balsâmico de Frutas Vermelhas e Pesto;ENTRADAS;
ALMOÇO EMPRATADO – 3 TEMPOS;Salada Mista de Grãos, Feijão Fradinho e Vinagrete de Avelãs;ENTRADAS;
ALMOÇO EMPRATADO – 3 TEMPOS;Carpaccio de Zucchini Grelhado com Queijo de Cabra, Couve Crispy, Azeite Trufado e Flor de Sal;ENTRADAS;
ALMOÇO EMPRATADO – 3 TEMPOS;PRATOS PRINCIPAIS (escolher 1 opção);;
ALMOÇO EMPRATADO – 3 TEMPOS;Boeuf Bourguignon com Risoto de Parmesão com Açafrão e Aspargos;PRATOS PRINCIPAIS;
ALMOÇO EMPRATADO – 3 TEMPOS;Mignon Grelhado acompanhado de Mini-Legumes Orgânicos Braseados;PRATOS PRINCIPAIS;
ALMOÇO EMPRATADO – 3 TEMPOS;Mignon Grelhado ao Molho Roti com Purê de Mandioquinha e Cogumelos;PRATOS PRINCIPAIS;
ALMOÇO EMPRATADO – 3 TEMPOS;Medalhão de Mignon ao Molho Roti acompanhado de Arroz de Brócolis;PRATOS PRINCIPAIS;
ALMOÇO EMPRATADO – 3 TEMPOS;Beef Ribs ao Molho Roti com Musseline de Batatas com Gruyère e Couve;PRATOS PRINCIPAIS;
ALMOÇO EMPRATADO – 3 TEMPOS;Salmão Grelhado com Couscous Marroquino;PRATOS PRINCIPAIS;
ALMOÇO EMPRATADO – 3 TEMPOS;Peixe Branco do Dia Grelhado com Arroz 7 Grãos e Cenoura Baby Glaceadas;PRATOS PRINCIPAIS;
ALMOÇO EMPRATADO – 3 TEMPOS;Salmão ao Molho de Maracujá acompanhado de Legumes Braseados;PRATOS PRINCIPAIS;
ALMOÇO EMPRATADO – 3 TEMPOS;Peixe Branco Fresco ao Bechamel de Limão Siciliano com Purê de Abóbora e Chips de Batata Roxa;PRATOS PRINCIPAIS;
ALMOÇO EMPRATADO – 3 TEMPOS;Picadinho de Carne com Couve, Arroz Branco, Farofinha Crocante e Vinagrete;PRATOS PRINCIPAIS;
ALMOÇO EMPRATADO – 3 TEMPOS;SOBREMESAS (escolher 1 opção);;
ALMOÇO EMPRATADO – 3 TEMPOS;Mousse de Chocolate ao Leite;SOBREMESAS;
ALMOÇO EMPRATADO – 3 TEMPOS;Torta de Brigadeiro;SOBREMESAS;
ALMOÇO EMPRATADO – 3 TEMPOS;Mousse de Paçoca;SOBREMESAS;
ALMOÇO EMPRATADO – 3 TEMPOS;Banoffee;SOBREMESAS;
ALMOÇO EMPRATADO – 3 TEMPOS;Verrine de Romeu e Julieta;SOBREMESAS;
ALMOÇO EMPRATADO – 3 TEMPOS;Verrine de Apple Pie;SOBREMESAS;
ALMOÇO EMPRATADO – 3 TEMPOS;Verrine de Torta de Limão;SOBREMESAS;
ALMOÇO EMPRATADO – 3 TEMPOS;Mousse de Chocolate com Raspas de Chocolate;SOBREMESAS;
ALMOÇO EMPRATADO – 3 TEMPOS;Cheesecake de Morango;SOBREMESAS;
ALMOÇO EMPRATADO – 3 TEMPOS;Torta de Chocolate;SOBREMESAS;
ALMOÇO EMPRATADO – 3 TEMPOS;Torta de Maracujá com Chocolate;SOBREMESAS;
ALMOÇO EMPRATADO – 3 TEMPOS;OPÇÕES VEGANAS;;
ALMOÇO EMPRATADO – 3 TEMPOS;Polenta Cremosa com Azeite com Cogumelos Trufados e Legumes Braseados;OPÇÕES VEGANAS;
ALMOÇO EMPRATADO – 3 TEMPOS;Penne ao Molho de Tomate com Azeite Lemon e Folhas de Manjericão;OPÇÕES VEGANAS;
ALMOÇO EMPRATADO – 3 TEMPOS;Tartar de Legumes com Chips e Azeite de Manjericão;OPÇÕES VEGANAS;
