EVENTO;ITENS;CATEGORIA;VALOR
BRUNCH;Água + Refri;BEBIDAS NÃO ALCOÓLICAS; R$ 239,00 
BRUNCH;1 Suco;BEBIDAS NÃO ALCOÓLICAS;
BRUNCH;1 Iced Tea;BEBIDAS NÃO ALCOÓLICAS;
BRUNCH;SUCOS (2 opções);;
BRUNCH;Laranja com Frutas Silvestres;SUCOS;
BRUNCH;Frutas Amarelas (Maracujá, Manga e Abacaxi);SUCOS;
BRUNCH;Laranja com Acerola;SUCOS;
BRUNCH;Abacaxi com Hortelã;SUCOS;
BRUNCH;Limão com Hortelã e Gengibre;SUCOS;
BRUNCH;Maracujá com Manjericão;SUCOS;
BRUNCH;Iced Tea de Cranberry;SUCOS;
BRUNCH;Iced Tea de Limão;SUCOS;
BRUNCH;Iced Tea de Pêssego;SUCOS;
BRUNCH;SNACKS (2 opções);;
BRUNCH;Mini-Pão de Queijo Recheado com Catupiry;SNACKS;
BRUNCH;Mini Croissant de Presunto e Queijo;SNACKS;
BRUNCH;Bauruzinho de Presunto, Queijo e Tomate;SNACKS;
BRUNCH;Mini-Esfiha de Carne;SNACKS;
BRUNCH;Mini-Quiche de Alho Poró;SNACKS;
BRUNCH;Empanada Argentina de Frango;SNACKS;
BRUNCH;Folhadinho de Calabresa;SNACKS;
BRUNCH;Mini-Sírio com Mussarela de Búfala e Pesto;SNACKS;
BRUNCH;Mini-Paninni de Rosbife com Cebola Caramelizada;SNACKS;
BRUNCH;Mini-Bagel de Parmesão com Brie e Pesto de Tomate;SNACKS;
BRUNCH;Mini-Bagel Lemon Pepper com Salame Hamburguês e Creme de Limão;SNACKS;
BRUNCH;Mini-Paninni Vegetariano de Azeitonas com Abobrinha e Berinjela Grelhada com Queijo;SNACKS;
BRUNCH;Mini Sanduba de Pastrami, Cebola Caramelizada e Cheddar;SNACKS;
BRUNCH;Mini Sanduba de Frango, Requeijão e Chia com Cenoura Laminada;SNACKS;
BRUNCH;Mini Sanduba de Peito de Peru com Queijo Meia Cura e Creme de Ervas;SNACKS;
BRUNCH;Vegan Toast de Zuchini com Homus e Nozes (vegano);SNACKS;
BRUNCH;Vegan Toast de Caponata com Pesto (vegano);SNACKS;
BRUNCH;Mini-Pão de Queijo de Mandioquinha VEGAN;SNACKS;
BRUNCH;SALADAS (2 opções);;
BRUNCH;Salada Caprese (Tomate, Mussarela de Búfala e Folhas de Manjericão);SALADAS;
BRUNCH;Ceviche Vegano de Pupunha com Zuchinni, Avelãs, Maçã Verde e Melaço;SALADAS;
BRUNCH;Salada Caesar com Lascas de Peito de Frango;SALADAS;
BRUNCH;Mix de Verdes com Radíchio, Tomate Sweet, Gorgonzola, Pêra e Nozes Caramelizadas, acompanha dressing de Balsâmico Reduzido com Mel e Azeite Extra Virgem;SALADAS;
BRUNCH;Couscous Marroquino com Medalhões de Pupunha e Legumes Crocantes;SALADAS;
