EVENTO;ITENS;CATEGORIA;VALOR
CAFÉ DA MANHÃ STANDARD;Água sem Gás;BEBIDAS; R$ 89,00 
CAFÉ DA MANHÃ STANDARD;Café;BEBIDAS;
CAFÉ DA MANHÃ STANDARD;Leite;BEBIDAS;
CAFÉ DA MANHÃ STANDARD;Chás;BEBIDAS;
CAFÉ DA MANHÃ STANDARD;Chocolate em Pó;BEBIDAS;
CAFÉ DA MANHÃ STANDARD;1 Suco;BEBIDAS;
CAFÉ DA MANHÃ STANDARD;SUCOS (1 opção);;
CAFÉ DA MANHÃ STANDARD;Laranja;SUCOS;
CAFÉ DA MANHÃ STANDARD;Abacaxi;SUCOS;
CAFÉ DA MANHÃ STANDARD;Uva;SUCOS;
CAFÉ DA MANHÃ STANDARD;Limão;SUCOS;
CAFÉ DA MANHÃ STANDARD;Caju;SUCOS;
CAFÉ DA MANHÃ STANDARD;Iced Tea de Pêssego;SUCOS;
CAFÉ DA MANHÃ STANDARD;Iced Tea de Cranberry;SUCOS;
CAFÉ DA MANHÃ STANDARD;Iced Tea de Limão;SUCOS;
CAFÉ DA MANHÃ STANDARD;MINI-SANDUÍCHES (2 opções);;
CAFÉ DA MANHÃ STANDARD;Mini-Tostex de Presunto e Queijo;MINI-SANDUÍCHES;
CAFÉ DA MANHÃ STANDARD;Mini-Sírio com Mussarela de Búfala e Pesto;MINI-SANDUÍCHES;
CAFÉ DA MANHÃ STANDARD;Mini-Bagel de Parmesão com Brie e Pesto de Tomate;MINI-SANDUÍCHES;
CAFÉ DA MANHÃ STANDARD;Presunto, Queijo Prato e Requeijão com Ervas;MINI-SANDUÍCHES;
CAFÉ DA MANHÃ STANDARD;Queijos Cremosos com Tomate, Azeite, Orégano;MINI-SANDUÍCHES;
CAFÉ DA MANHÃ STANDARD;Creme de Tomate Seco com Zucchini Grelhada;MINI-SANDUÍCHES;
CAFÉ DA MANHÃ STANDARD;Queijo Branco com Tomate e Orégano;MINI-SANDUÍCHES;
CAFÉ DA MANHÃ STANDARD;Queijo Meia Cura com Peito de Peru e Requeijão de Ervas;MINI-SANDUÍCHES;
CAFÉ DA MANHÃ STANDARD;Queijo Ementhal com Lombo Canadense e Cream Cheese de Limão;MINI-SANDUÍCHES;
CAFÉ DA MANHÃ STANDARD;Frango, Requeijão e Chia com Cenoura Laminada;MINI-SANDUÍCHES;
CAFÉ DA MANHÃ STANDARD;Rosbife com Queijo Emmental e Mostarda Dijon;MINI-SANDUÍCHES;
CAFÉ DA MANHÃ STANDARD;Alho Poró Caramelizado com Nuts;MINI-SANDUÍCHES;
CAFÉ DA MANHÃ STANDARD;Vegan Toast de Caponata com Pesto (vegano);MINI-SANDUÍCHES;
CAFÉ DA MANHÃ STANDARD;Hommus com Zucchini Grelhada e Nozes Caramelizadas;MINI-SANDUÍCHES;
CAFÉ DA MANHÃ STANDARD;BOLOS (1 opção);;
CAFÉ DA MANHÃ STANDARD;Oatmeal com Chia e Frutas da Estação (vegano);BOLOS;
CAFÉ DA MANHÃ STANDARD;Bolo de Cenoura com Chocolate;BOLOS;
CAFÉ DA MANHÃ STANDARD;Bolo de Fubá com Goiaba;BOLOS;
CAFÉ DA MANHÃ STANDARD;Bolo de Milho Cremoso;BOLOS;
CAFÉ DA MANHÃ STANDARD;Cuca de Goiabada;BOLOS;
CAFÉ DA MANHÃ STANDARD;Bolo Formigueiro;BOLOS;
CAFÉ DA MANHÃ STANDARD;Fubá Cremoso;BOLOS;
CAFÉ DA MANHÃ STANDARD;Bolo de Banana;BOLOS;
CAFÉ DA MANHÃ STANDARD;Bolo de Fubá;BOLOS;
CAFÉ DA MANHÃ STANDARD;Bolo de Coco;BOLOS;
CAFÉ DA MANHÃ STANDARD;Muffin de Blueberry;BOLOS;
CAFÉ DA MANHÃ STANDARD;Muffin de Laranja;BOLOS;
CAFÉ DA MANHÃ STANDARD;Frutas da Estação (em cubos ou laminadas);FRUTAS DA ESTAÇÃO;
