EVENTO;ITENS;CATEGORIA;VALOR
COFFEE BREAK BÁSICO II;Água sem Gás;BEBIDAS NÃO ALCOÓLICAS; R$ 64,00 
COFFEE BREAK BÁSICO II;Café;BEBIDAS NÃO ALCOÓLICAS;
COFFEE BREAK BÁSICO II;Chás Variados;BEBIDAS NÃO ALCOÓLICAS;
COFFEE BREAK BÁSICO II;SUCOS (1 opção);;
COFFEE BREAK BÁSICO II;Laranja;SUCOS;
COFFEE BREAK BÁSICO II;Limão;SUCOS;
COFFEE BREAK BÁSICO II;Uva;SUCOS;
COFFEE BREAK BÁSICO II;Maracujá;SUCOS;
COFFEE BREAK BÁSICO II;Abacaxi;SUCOS;
COFFEE BREAK BÁSICO II;Ice Tea de Limão;SUCOS;
COFFEE BREAK BÁSICO II;Ice Tea de Pêssego;SUCOS;
COFFEE BREAK BÁSICO II;SNACKS (1 opção);;
COFFEE BREAK BÁSICO II;Mini Quiche de Alho Poró;SNACKS;
COFFEE BREAK BÁSICO II;Mini Quiche de Palmito;SNACKS;
COFFEE BREAK BÁSICO II;Mini Quiche Lorraine;SNACKS;
COFFEE BREAK BÁSICO II;Folhado de Calabresa;SNACKS;
COFFEE BREAK BÁSICO II;Folhado de Presunto e Queijo;SNACKS;
COFFEE BREAK BÁSICO II;Pão de Queijo Tradicional;SNACKS;
COFFEE BREAK BÁSICO II;Pão de Queijo com Catupiry;SNACKS;
COFFEE BREAK BÁSICO II;Pão de Queijo Multigrãos;SNACKS;
COFFEE BREAK BÁSICO II;Bauruzinho;SNACKS;
COFFEE BREAK BÁSICO II;Esfiha de Frango com Catupiry;SNACKS;
COFFEE BREAK BÁSICO II;Esfiha de Carne Caseira;SNACKS;
COFFEE BREAK BÁSICO II;Croissant de Peito de Peru e Queijo;SNACKS;
COFFEE BREAK BÁSICO II;Esfiha de Queijo;SNACKS;
COFFEE BREAK BÁSICO II;Mini-Tostex de Presunto e Queijo;SNACKS;
COFFEE BREAK BÁSICO II;Mini-Sírio com Mussarela de Búfala e Pesto;SNACKS;
COFFEE BREAK BÁSICO II;Paninni Vegetariano de Azeitonas com Abobrinha e Berinjela Grelhada com Queijo e Manjericão;SNACKS;
COFFEE BREAK BÁSICO II;BOLOS OU DOCES (1 opção);;
COFFEE BREAK BÁSICO II;Bolo de Cenoura com Chocolate;BOLOS OU DOCES;
COFFEE BREAK BÁSICO II;Bolo de Chocolate com Kitkat;BOLOS OU DOCES;
COFFEE BREAK BÁSICO II;Bolo de Fubá com Erva Doce;BOLOS OU DOCES;
COFFEE BREAK BÁSICO II;Bolo de Canela;BOLOS OU DOCES;
COFFEE BREAK BÁSICO II;Bolo de Laranja com Iogurte;BOLOS OU DOCES;
COFFEE BREAK BÁSICO II;Bolo Chocolate Vegano;BOLOS OU DOCES;
COFFEE BREAK BÁSICO II;Bolo Prestígio;BOLOS OU DOCES;
COFFEE BREAK BÁSICO II;Brownie de Chocolate;BOLOS OU DOCES;
COFFEE BREAK BÁSICO II;Fudge (Doce à base de chocolate, leite e manteiga, similar ao brownie, mas não vai ao forno);BOLOS OU DOCES;
COFFEE BREAK BÁSICO II;Blondie (Brownie de chocolate branco);BOLOS OU DOCES;
COFFEE BREAK BÁSICO II;Carolina de Doce de Leite;BOLOS OU DOCES;
