EVENTO;ITENS;CATEGORIA;VALOR
COFFEE BREAK PREMIUM;Água sem Gás;BEBIDAS NÃO ALCOÓLICAS; R$ 129,00 
COFFEE BREAK PREMIUM;Café;BEBIDAS NÃO ALCOÓLICAS;
COFFEE BREAK PREMIUM;Leite;BEBIDAS NÃO ALCOÓLICAS;
COFFEE BREAK PREMIUM;Chás Variados;BEBIDAS NÃO ALCOÓLICAS;
COFFEE BREAK PREMIUM;Chocolate em Pó;BEBIDAS NÃO ALCOÓLICAS;
COFFEE BREAK PREMIUM;Iogurte com Granola (à parte);BEBIDAS NÃO ALCOÓLICAS;
COFFEE BREAK PREMIUM;2 Sucos;BEBIDAS NÃO ALCOÓLICAS;
COFFEE BREAK PREMIUM;1 Água Aromatizada;BEBIDAS NÃO ALCOÓLICAS;
COFFEE BREAK PREMIUM;ÁGUAS AROMATIZADAS (1 opção);;
COFFEE BREAK PREMIUM;Limão Siciliano, Hortelã e Manjericão Verde;ÁGUAS AROMATIZADAS;
COFFEE BREAK PREMIUM;Laranja com Manjericão e Mini-Flores;ÁGUAS AROMATIZADAS;
COFFEE BREAK PREMIUM;Alecrim, Limão Taiti e Manjericão Verde;ÁGUAS AROMATIZADAS;
COFFEE BREAK PREMIUM;Limão com Manjericão Roxo;ÁGUAS AROMATIZADAS;
COFFEE BREAK PREMIUM;SUCOS (2 opções);;
COFFEE BREAK PREMIUM;Laranja com Acerola;SUCOS;
COFFEE BREAK PREMIUM;Uva com Canela;SUCOS;
COFFEE BREAK PREMIUM;Pink Lemonade;SUCOS;
COFFEE BREAK PREMIUM;Iced Tea de Pêssego;SUCOS;
COFFEE BREAK PREMIUM;Iced Tea com Limão;SUCOS;
COFFEE BREAK PREMIUM;Verde Detox (maçã, limão, gengibre, couve, espinafre, capim santo);SUCOS;
COFFEE BREAK PREMIUM;Maracujá com Manjericão;SUCOS;
COFFEE BREAK PREMIUM;Laranja com Morango;SUCOS;
COFFEE BREAK PREMIUM;Abacaxi com Hortelã;SUCOS;
COFFEE BREAK PREMIUM;Laranja;SUCOS;
COFFEE BREAK PREMIUM;Abacaxi;SUCOS;
COFFEE BREAK PREMIUM;Uva;SUCOS;
COFFEE BREAK PREMIUM;Limão;SUCOS;
COFFEE BREAK PREMIUM;SNACKS (2 opções);;
COFFEE BREAK PREMIUM;Esfiha de Queijo;SNACKS;
COFFEE BREAK PREMIUM;Esfiha de Ricota;SNACKS;
COFFEE BREAK PREMIUM;Esfiha de Carne;SNACKS;
COFFEE BREAK PREMIUM;Folhado de Calabresa;SNACKS;
COFFEE BREAK PREMIUM;Empanadita Argentina de Mussarela com Roquefort;SNACKS;
