EVENTO;ITENS;CATEGORIA;VALOR
COFFEE BREAK STANDARD;Água sem Gás;BEBIDAS NÃO ALCOÓLICAS; R$ 79,00 
COFFEE BREAK STANDARD;Café;BEBIDAS NÃO ALCOÓLICAS;
COFFEE BREAK STANDARD;Leite;BEBIDAS NÃO ALCOÓLICAS;
COFFEE BREAK STANDARD;Chás Variados;BEBIDAS NÃO ALCOÓLICAS;
COFFEE BREAK STANDARD;1 Suco;BEBIDAS NÃO ALCOÓLICAS;
COFFEE BREAK STANDARD;SUCOS (1 opção);;
COFFEE BREAK STANDARD;Laranja;SUCOS;
COFFEE BREAK STANDARD;Abacaxi;SUCOS;
COFFEE BREAK STANDARD;Uva;SUCOS;
COFFEE BREAK STANDARD;Limão;SUCOS;
COFFEE BREAK STANDARD;Laranja com Acerola;SUCOS;
COFFEE BREAK STANDARD;Iced Tea de Limão;SUCOS;
COFFEE BREAK STANDARD;Iced Tea de Pêssego;SUCOS;
COFFEE BREAK STANDARD;MINI-SANDUÍCHES (1 opção);;
COFFEE BREAK STANDARD;Mini-Sírio com Mussarela de Búfala e Pesto;MINI-SANDUÍCHES;
COFFEE BREAK STANDARD;Mini-Paninni de Rosbife com Cebola Caramelizada;MINI-SANDUÍCHES;
COFFEE BREAK STANDARD;Mini-Tostex de Peito de Peru e Mussarela de Búfala;MINI-SANDUÍCHES;
COFFEE BREAK STANDARD;Mini-Paninni Vegetariano de Azeitonas com Abobrinha e Berinjela Grelhada com Queijo;MINI-SANDUÍCHES;
COFFEE BREAK STANDARD;Mini Sanduba de Frango, Requeijão e Chia com Cenoura Laminada;MINI-SANDUÍCHES;
COFFEE BREAK STANDARD;Mini Sanduba de Peito de Peru com Queijo Meia Cura e Creme de Ervas;MINI-SANDUÍCHES;
COFFEE BREAK STANDARD;Mini Sanduba de Queijo Ementhal com Lombo Canadense e Cream Cheese de Limão;MINI-SANDUÍCHES;
COFFEE BREAK STANDARD;Mini Sanduba de Creme de Tomate Seco com Abobrinha Confitada;MINI-SANDUÍCHES;
COFFEE BREAK STANDARD;Mini Sanduba de Queijos Cremosos com Tomate Confitado, Azeite, Orégano;MINI-SANDUÍCHES;
COFFEE BREAK STANDARD;Mini Sanduba de Cream Cheese, Cenoura, Damasco e Mel;MINI-SANDUÍCHES;
COFFEE BREAK STANDARD;Vegan Toast de Zuchini com Homus e Nozes (vegano);MINI-SANDUÍCHES;
COFFEE BREAK STANDARD;Vegan Toast de Caponata com Pesto (vegano);MINI-SANDUÍCHES;
COFFEE BREAK STANDARD;SNACKS (1 opção);;
COFFEE BREAK STANDARD;Mini-Quiche de Alho Poró;SNACKS;
COFFEE BREAK STANDARD;Mini-Quiche Lorraine;SNACKS;
COFFEE BREAK STANDARD;Croissant de Presunto e Queijo;SNACKS;
COFFEE BREAK STANDARD;Pão de Queijo Recheado com Catupiry;SNACKS;
COFFEE BREAK STANDARD;Pão de Batata com Calabresa;SNACKS;
COFFEE BREAK STANDARD;Empanadita Argentina de Frango;SNACKS;
COFFEE BREAK STANDARD;Dadinho de Tapioca e Chia;SNACKS;
COFFEE BREAK STANDARD;Esfiha de Carne;SNACKS;
COFFEE BREAK STANDARD;Mini-Pão de Queijo de Mandioquinha VEGAN;SNACKS;
COFFEE BREAK STANDARD;BOLOS (1 opção);;
COFFEE BREAK STANDARD;Oatmeal com Chia e Frutas da Estação (vegano);BOLOS;
COFFEE BREAK STANDARD;Banan a Caramelizada;BOLOS;
COFFEE BREAK STANDARD;Café;BOLOS;
COFFEE BREAK STANDARD;Maçã;BOLOS;
COFFEE BREAK STANDARD;Chocolate;BOLOS;
COFFEE BREAK STANDARD;Cuca de Banana;BOLOS;
COFFEE BREAK STANDARD;Cuca de Maçã;BOLOS;
COFFEE BREAK STANDARD;Fubá com Goiabada;BOLOS;
COFFEE BREAK STANDARD;Cenoura com Brigadeiro;BOLOS;
COFFEE BREAK STANDARD;Muffin de Blueberry;BOLOS;
COFFEE BREAK STANDARD;Muffin de Laranja;BOLOS;
COFFEE BREAK STANDARD;Brigadeiro;BOLOS;
COFFEE BREAK STANDARD;Churros;BOLOS;
COFFEE BREAK STANDARD;Milho;BOLOS;
COFFEE BREAK STANDARD;Bolo Toalha Felpuda de Coco;BOLOS;
COFFEE BREAK STANDARD;Brownie de Chocolate;BOLOS;
COFFEE BREAK STANDARD;SOBREMESAS (1 opção);;
COFFEE BREAK STANDARD;Frutas da Estação (cubos ou laminadas);FRUTAS DA ESTAÇÃO;
