EVENTO;ITENS;CATEGORIA;VALOR
COFFEE BREAK VIP;Água sem Gás;BEBIDAS NÃO ALCOÓLICAS; R$ 109,00 
COFFEE BREAK VIP;Café;BEBIDAS NÃO ALCOÓLICAS;
COFFEE BREAK VIP;Leite;BEBIDAS NÃO ALCOÓLICAS;
COFFEE BREAK VIP;Chás Variados;BEBIDAS NÃO ALCOÓLICAS;
COFFEE BREAK VIP;Chocolate em Pó;BEBIDAS NÃO ALCOÓLICAS;
COFFEE BREAK VIP;2 Sucos;BEBIDAS NÃO ALCOÓLICAS;
COFFEE BREAK VIP;SUCOS (2 opções);;
COFFEE BREAK VIP;Laranja com Morango;SUCOS;
COFFEE BREAK VIP;Uva com Canela;SUCOS;
COFFEE BREAK VIP;Limão com Hortelã e Gengibre;SUCOS;
COFFEE BREAK VIP;Laranja;SUCOS;
COFFEE BREAK VIP;Abacaxi;SUCOS;
COFFEE BREAK VIP;Uva;SUCOS;
COFFEE BREAK VIP;Limão;SUCOS;
COFFEE BREAK VIP;Iced Tea de Pêssego;SUCOS;
COFFEE BREAK VIP;Iced Tea com Limão;SUCOS;
COFFEE BREAK VIP;MINI-SANDUÍCHES (1 opção);;
COFFEE BREAK VIP;Mini-Tostex de Presunto e Queijo;MINI-SANDUÍCHES;
COFFEE BREAK VIP;Mini-Sírio com Mussarela de Búfala e Pesto;MINI-SANDUÍCHES;
COFFEE BREAK VIP;Mini-Bagel Lemon Pepper com Salame Hamburguês e Creme de Limão;MINI-SANDUÍCHES;
COFFEE BREAK VIP;Paninni de Rosbife com Cebola Caramelizada;MINI-SANDUÍCHES;
COFFEE BREAK VIP;Mini-Bagel de Parmesão com Brie e Pesto de Tomate;MINI-SANDUÍCHES;
COFFEE BREAK VIP;Paninni Vegetariano de Azeitonas com Abobrinha e Berinjela Grelhada com Queijo e Manjericão;MINI-SANDUÍCHES;
COFFEE BREAK VIP;Mini-Tostex de Peito de Peru e Mussarela de Búfala;MINI-SANDUÍCHES;
COFFEE BREAK VIP;Queijo com Creme de Azeitonas e Tartar de Tomate;MINI-SANDUÍCHES;
COFFEE BREAK VIP;Lascas de Queijo Brie com Geleia do Chef e Nuts;MINI-SANDUÍCHES;
COFFEE BREAK VIP;Queijo Ementhal com Lombo Canadense e Cream Cheese com um toque de Limão;MINI-SANDUÍCHES;
COFFEE BREAK VIP;Creme de Tomate Seco com Abobrinha Confita;MINI-SANDUÍCHES;
COFFEE BREAK VIP;Frango, Requeijão e Chia com Cenoura Laminada;MINI-SANDUÍCHES;
COFFEE BREAK VIP;Peito de Peru com Queijo Meia Cura e Creme de Ervas;MINI-SANDUÍCHES;
COFFEE BREAK VIP;Queijos Cremosos com Tomate Confitado, Azeite, Orégano;MINI-SANDUÍCHES;
COFFEE BREAK VIP;Rosbife com Maionese Verde e Vinagrete;MINI-SANDUÍCHES;
COFFEE BREAK VIP;Abobrinha Grelhada com Homus e Nuts;MINI-SANDUÍCHES;
COFFEE BREAK VIP;Mortadela Italiana com Molho Dijon e Picles;MINI-SANDUÍCHES;
COFFEE BREAK VIP;SNACKS (1 opção);;
COFFEE BREAK VIP;Pães de Queijo Recheado com Catupiry;SNACKS;
COFFEE BREAK VIP;Quiche de Alho Poró;SNACKS;
COFFEE BREAK VIP;Quiche de Palmito;SNACKS;
COFFEE BREAK VIP;Bolinho de Cenoura com Roquefort;SNACKS;
COFFEE BREAK VIP;Empanadita Argentina de Carne Caramelizada;SNACKS;
COFFEE BREAK VIP;Empanadita Argentina de Mussarela com Calabresa;SNACKS;
COFFEE BREAK VIP;Empanadita Argentina de Mussarela com Roquefort;SNACKS;
COFFEE BREAK VIP;Empanada Argentina de Frango;SNACKS;
COFFEE BREAK VIP;Esfiha de Carne;SNACKS;
COFFEE BREAK VIP;Vegan Toast de Zuchini com Homus e Nozes (vegano);SNACKS;
COFFEE BREAK VIP;Vegan Toast de Caponata com Pesto (vegano);SNACKS;
COFFEE BREAK VIP;BOLOS E DOCES (2 opções);;
COFFEE BREAK VIP;Oatmeal com Chia e Frutas da Estação (vegano);BOLOS E DOCES;
COFFEE BREAK VIP;Cenoura com Cobertura de Chocolate Trufado;BOLOS E DOCES;
COFFEE BREAK VIP;Maçã;BOLOS E DOCES;
COFFEE BREAK VIP;Chocolate;BOLOS E DOCES;
COFFEE BREAK VIP;Cuca de Banana;BOLOS E DOCES;
COFFEE BREAK VIP;Cuca de Maçã;BOLOS E DOCES;
COFFEE BREAK VIP;Fubá com Goiabada;BOLOS E DOCES;
COFFEE BREAK VIP;Cenoura com Brigadeiro;BOLOS E DOCES;
COFFEE BREAK VIP;Muffin de Blueberry;BOLOS E DOCES;
COFFEE BREAK VIP;Muffin de Laranja;BOLOS E DOCES;
COFFEE BREAK VIP;Tapioca com Calda de Laranja e Leite de Coco, Mousse de Manga, Crumble e Iogurte;BOLOS E DOCES;
COFFEE BREAK VIP;Verrine de Brownie com Ganache e Coulis de Frutas Vermelhas;BOLOS E DOCES;
COFFEE BREAK VIP;Brigadeirão;BOLOS E DOCES;
COFFEE BREAK VIP;Tortinha de Brigadeiro;BOLOS E DOCES;
COFFEE BREAK VIP;Choux Cream de Baunilha;BOLOS E DOCES;
COFFEE BREAK VIP;Carolina de Limão;BOLOS E DOCES;
COFFEE BREAK VIP;Mini Pain Au Chocolat;BOLOS E DOCES;
COFFEE BREAK VIP;Tortinha de Limão;BOLOS E DOCES;
COFFEE BREAK VIP;SOBREMESAS (1 opção);;
COFFEE BREAK VIP;Frutas da Estação (laminadas ou cubos);FRUTAS DA ESTAÇÃO;
