EVENTO;ITENS;CATEGORIA;VALOR
COQUETEL VOLANTE BÁSICO;Água;BEBIDAS NÃO ALCOÓLICAS; R$ 149,00 
COQUETEL VOLANTE BÁSICO;Refrigerante;BEBIDAS NÃO ALCOÓLICAS;
COQUETEL VOLANTE BÁSICO;1 Suco;BEBIDAS NÃO ALCOÓLICAS;
COQUETEL VOLANTE BÁSICO;SUCOS (1 opção);;
COQUETEL VOLANTE BÁSICO;Laranja;SUCOS;
COQUETEL VOLANTE BÁSICO;Abacaxi;SUCOS;
COQUETEL VOLANTE BÁSICO;Uva;SUCOS;
COQUETEL VOLANTE BÁSICO;Maracujá;SUCOS;
COQUETEL VOLANTE BÁSICO;Ice Tea de Limão;SUCOS;
COQUETEL VOLANTE BÁSICO;Ice Tea de Pêssego;SUCOS;
COQUETEL VOLANTE BÁSICO;CANAPÉS FRIOS (2 opções);;
COQUETEL VOLANTE BÁSICO;Uvinhas Trufadas com Queijo de Cabra;CANAPÉS FRIOS;
COQUETEL VOLANTE BÁSICO;Steak Tartar em Ninho Crocante com Onion Crispy;CANAPÉS FRIOS;
COQUETEL VOLANTE BÁSICO;Brusqueta com Creme de Cogumelos e Balsâmico Reduzido;CANAPÉS FRIOS;
COQUETEL VOLANTE BÁSICO;Cestinha ao Creme de Alho Poró e Alho Poró Crispy;CANAPÉS FRIOS;
COQUETEL VOLANTE BÁSICO;Verrine de Burrata com Tomatinho e Pesto;CANAPÉS FRIOS;
COQUETEL VOLANTE BÁSICO;Trouxinha de Rosbife com Mousse de Mostarda Dijon;CANAPÉS FRIOS;
COQUETEL VOLANTE BÁSICO;CANAPÉS QUENTES (2 opções);;
COQUETEL VOLANTE BÁSICO;Bolinho de Feijoada;CANAPÉS QUENTES;
COQUETEL VOLANTE BÁSICO;Pelota de 4 Queijos;CANAPÉS QUENTES;
COQUETEL VOLANTE BÁSICO;Arancini de Mussarela;CANAPÉS QUENTES;
COQUETEL VOLANTE BÁSICO;Coxinha Cremosa com Molho Barbecue;CANAPÉS QUENTES;
COQUETEL VOLANTE BÁSICO;Kibe com Coalhada Seca e Geléia de Hortelã;CANAPÉS QUENTES;
COQUETEL VOLANTE BÁSICO;Pelotita de Queijo by ROJO com Geleia de Pimenta;CANAPÉS QUENTES;
COQUETEL VOLANTE BÁSICO;Coxinha de Espinafre com Ricota, Mussarela, Parmesão e Brócolis;CANAPÉS QUENTES;
COQUETEL VOLANTE BÁSICO;Mini-Baked Potato de Queijos Cremosos;CANAPÉS QUENTES;
COQUETEL VOLANTE BÁSICO;Stick de Kafta com Pesto de Manjericão;CANAPÉS QUENTES;
COQUETEL VOLANTE BÁSICO;Mini-Éclair de Alho Poró Caramelizado;CANAPÉS QUENTES;
COQUETEL VOLANTE BÁSICO;Mini-Pão de Queijo com Catupiry;CANAPÉS QUENTES;
COQUETEL VOLANTE BÁSICO;Mini-Empanada de Frango com Requeijão;CANAPÉS QUENTES;
COQUETEL VOLANTE BÁSICO;Mini-Empanada de Palmito;CANAPÉS QUENTES;
COQUETEL VOLANTE BÁSICO;Mini-Empanada de Carne;CANAPÉS QUENTES;
COQUETEL VOLANTE BÁSICO;Falafel com Geleia do Chef VEGAN;CANAPÉS QUENTES;
COQUETEL VOLANTE BÁSICO;Coxinha de Cogumelos VEGAN;CANAPÉS QUENTES;
COQUETEL VOLANTE BÁSICO;Dadinho de Tapioca VEGANO com Geleia de Pimenta;CANAPÉS QUENTES;
COQUETEL VOLANTE BÁSICO;PRATOS VOLANTES (1 opção);;
COQUETEL VOLANTE BÁSICO;Mac & Cheese com Bacon Crispy;PRATOS VOLANTES;
COQUETEL VOLANTE BÁSICO;Penne ao Molho Pomodoro com Mussarela de Búfala, Azeitonas Laminadas, Tomate Seco, Manjericão e Lascas de Parmesão;PRATOS VOLANTES;
COQUETEL VOLANTE BÁSICO;Agnolloti Recheado ao Molho de Tomates Rústicos, Espuma de Parmesão e Amêndoas;PRATOS VOLANTES;
COQUETEL VOLANTE BÁSICO;Fusilli ao Pesto de Manjericão com Tomate Seco, Mussarelinhas de Búfala, Azeitonas e Parmesão;PRATOS VOLANTES;
COQUETEL VOLANTE BÁSICO;Fusilli com Iscas de Frango e Bechamel com Bacon Tostadinho e Cheiro Verde;PRATOS VOLANTES;
COQUETEL VOLANTE BÁSICO;Gnocchi de Mandioquinha ao Pesto de Manjericão e Nozes;PRATOS VOLANTES;
COQUETEL VOLANTE BÁSICO;Risoto Brasuca: Pupunha com Catupiry e Queijo Coalho;PRATOS VOLANTES;
COQUETEL VOLANTE BÁSICO;Risoto de Abóbora com Carne Seca e Couve Crocante;PRATOS VOLANTES;
COQUETEL VOLANTE BÁSICO;Risoto de Cogumelos com Alho Poró;PRATOS VOLANTES;
COQUETEL VOLANTE BÁSICO;Tartar de Legumes com Chips e Azeite de Manjericão (vegano);PRATOS VOLANTES;
COQUETEL VOLANTE BÁSICO;Polenta Cremosa com Ragú de Cogumelos e Legumes da Estação Braseados (vegano);PRATOS VOLANTES;
COQUETEL VOLANTE BÁSICO;Risoto Vegano de Caponata com Chips de Batata Roxa e Azeite Lemon (vegano);PRATOS VOLANTES;
COQUETEL VOLANTE BÁSICO;MINI-SOBREMESAS VOLANTES (1 opção);;
COQUETEL VOLANTE BÁSICO;Mini-Choux de Baunilha;MINI-SOBREMESAS VOLANTES;
COQUETEL VOLANTE BÁSICO;Ladrilhos de Brownie de Chocolate;MINI-SOBREMESAS VOLANTES;
COQUETEL VOLANTE BÁSICO;Éclair de Doce de Leite;MINI-SOBREMESAS VOLANTES;
COQUETEL VOLANTE BÁSICO;Mini-Coconut (Cheesecake de Iogurte Grego com Chantilly de Coco e Compota de Abacaxi);MINI-SOBREMESAS VOLANTES;
COQUETEL VOLANTE BÁSICO;Mini-Cheesecake de Frutas Amarelas;MINI-SOBREMESAS VOLANTES;
COQUETEL VOLANTE BÁSICO;Cocadinha Cremosa com Calda de Chocolate;MINI-SOBREMESAS VOLANTES;
COQUETEL VOLANTE BÁSICO;Mousse de Chocolate com Calda de Morango;MINI-SOBREMESAS VOLANTES;
COQUETEL VOLANTE BÁSICO;Sorbet de Frutas Vermelhas com Calda de Cacau (vegano);MINI-SOBREMESAS VOLANTES;
COQUETEL VOLANTE BÁSICO;Verrine de Maçã (vegano);MINI-SOBREMESAS VOLANTES;
COQUETEL VOLANTE BÁSICO;Brownie com Nozes (vegano);MINI-SOBREMESAS VOLANTES;
