EVENTO;ITENS;CATEGORIA;VALOR
COQUETEL VOLANTE STANDARD;Água;BEBIDAS NÃO ALCOÓLICAS; R$ 209,00 
COQUETEL VOLANTE STANDARD;Refrigerante;BEBIDAS NÃO ALCOÓLICAS;
COQUETEL VOLANTE STANDARD;1 Suco;BEBIDAS NÃO ALCOÓLICAS;
COQUETEL VOLANTE STANDARD;SUCOS (1 opção);;
COQUETEL VOLANTE STANDARD;Laranja;SUCOS;
COQUETEL VOLANTE STANDARD;Abacaxi;SUCOS;
COQUETEL VOLANTE STANDARD;Uva;SUCOS;
COQUETEL VOLANTE STANDARD;Limão;SUCOS;
COQUETEL VOLANTE STANDARD;Iced Tea de Pêssego;SUCOS;
COQUETEL VOLANTE STANDARD;Iced Tea de Cranberry;SUCOS;
COQUETEL VOLANTE STANDARD;Iced Tea de Limão;SUCOS;
COQUETEL VOLANTE STANDARD;CANAPÉS FRIOS (2 opções);;
COQUETEL VOLANTE STANDARD;Uvinhas Trufadas com Queijo de Cabra;CANAPÉS FRIOS;
COQUETEL VOLANTE STANDARD;Steak Tartar em Ninho Crocante com Onion Crispy;CANAPÉS FRIOS;
COQUETEL VOLANTE STANDARD;Crostini de Cogumelos com Redução de Balsâmico;CANAPÉS FRIOS;
COQUETEL VOLANTE STANDARD;Trouxinha de Rosbife com Mousse de Gorgonzola;CANAPÉS FRIOS;
COQUETEL VOLANTE STANDARD;Verrine de Burrata com Tomatinho e Pesto;CANAPÉS FRIOS;
COQUETEL VOLANTE STANDARD;Trouxinha de Rosbife com Mousse de Mostarda Dijon;CANAPÉS FRIOS;
COQUETEL VOLANTE STANDARD;Bombom de Chèvre com Gelatina de Licor Cassis e Nuts;CANAPÉS FRIOS;
COQUETEL VOLANTE STANDARD;Tacinhas com Tartar de Salmão, Guacamole e Creme Azedo;CANAPÉS FRIOS;
COQUETEL VOLANTE STANDARD;CANAPÉS QUENTES (3 opções);;
COQUETEL VOLANTE STANDARD;Bolinho de Feijoada;CANAPÉS QUENTES;
