EVENTO;ITENS;CATEGORIA;VALOR
COQUETEL VOLANTE VIP;Água;BEBIDAS NÃO ALCOÓLICAS; R$ 229,00 
COQUETEL VOLANTE VIP;Refri;BEBIDAS NÃO ALCOÓLICAS;
COQUETEL VOLANTE VIP;1 Suco;BEBIDAS NÃO ALCOÓLICAS;
COQUETEL VOLANTE VIP;SUCOS (2 opções);;
COQUETEL VOLANTE VIP;Lichia Lemonade;SUCOS;
COQUETEL VOLANTE VIP;Abacaxi com Hortelã;SUCOS;
COQUETEL VOLANTE VIP;Frutas Amarelas (Abacaxi com Maracujá ou outra fruta da estação);SUCOS;
COQUETEL VOLANTE VIP;Limão com Capim Santo;SUCOS;
COQUETEL VOLANTE VIP;Laranja com Fruta da Época;SUCOS;
COQUETEL VOLANTE VIP;Caju;SUCOS;
COQUETEL VOLANTE VIP;Uva;SUCOS;
COQUETEL VOLANTE VIP;Limão;SUCOS;
COQUETEL VOLANTE VIP;Laranja;SUCOS;
COQUETEL VOLANTE VIP;Iced Tea de Pêssego;SUCOS;
COQUETEL VOLANTE VIP;Iced Tea de Cranberry;SUCOS;
COQUETEL VOLANTE VIP;CANAPÉS FRIOS (4 opções);;
COQUETEL VOLANTE VIP;Bombom de Queijo de Cabra com Gelatina de Licor de Cassis;CANAPÉS FRIOS;
COQUETEL VOLANTE VIP;Bombom de Queijo Brie com Mel;CANAPÉS FRIOS;
COQUETEL VOLANTE VIP;Ninho Crocante de Caponata com Burrata de Búfala;CANAPÉS FRIOS;
COQUETEL VOLANTE VIP;Canolli Siciliano de Crispy de Parma com Mascarpone e Pistache;CANAPÉS FRIOS;
COQUETEL VOLANTE VIP;Uva Trufada com Queijo de Cabra e Mix de Brotos;CANAPÉS FRIOS;
COQUETEL VOLANTE VIP;Ninho Crocante de Steak Tartar com Onion Crispy;CANAPÉS FRIOS;
COQUETEL VOLANTE VIP;Trouxinha de Rosbife com Mousse de Mostarda Dijon;CANAPÉS FRIOS;
COQUETEL VOLANTE VIP;Verrine de Burrata de Búfala com Tomatinho e Pesto;CANAPÉS FRIOS;
COQUETEL VOLANTE VIP;One-Bite Bagel de Salmão com Dill e Picles de Cebola Roxa;CANAPÉS FRIOS;
COQUETEL VOLANTE VIP;One-Bite Panini de Rosbife com Cebola Caramelizada;CANAPÉS FRIOS;
COQUETEL VOLANTE VIP;Blini de Espinafre com Salmão Marinado, Creme de Limão com Dill e Ceboulette;CANAPÉS FRIOS;
COQUETEL VOLANTE VIP;Mini-Sírio de Frango ao Curry;CANAPÉS FRIOS;
COQUETEL VOLANTE VIP;One-Bite Bagel de Parmesão com Brie e Pesto de Tomate;CANAPÉS FRIOS;
COQUETEL VOLANTE VIP;Choux de Vinagrete de Pera, Creme de Gorgonzola e Bacon Bites;CANAPÉS FRIOS;
COQUETEL VOLANTE VIP;Ninho Crocante de Caponata com Pimenta Biquinho – VEGANO;CANAPÉS FRIOS;
COQUETEL VOLANTE VIP;CANAPÉS QUENTES (4 opções);;
COQUETEL VOLANTE VIP;Mini-Profiterole de Confit de Pato e Especiarias com Geleia de Laranja;CANAPÉS QUENTES;
COQUETEL VOLANTE VIP;Mini-Profiterole de Siri com Leite de Coco;CANAPÉS QUENTES;
COQUETEL VOLANTE VIP;One-Bite Cheeseburguer com Molho Especial;CANAPÉS QUENTES;
COQUETEL VOLANTE VIP;Bun de Costelinha ao Molho Barbecue;CANAPÉS QUENTES;
COQUETEL VOLANTE VIP;Pão de Queijo Frito com Ketchup de Goiabada;CANAPÉS QUENTES;
COQUETEL VOLANTE VIP;Spring de Camarõezinhos com Catupiry e Geleia de Pimenta;CANAPÉS QUENTES;
COQUETEL VOLANTE VIP;Vol au Vent com Creme de Camarão e Geleia de Pimenta;CANAPÉS QUENTES;
COQUETEL VOLANTE VIP;Bolinho de Feijoada com Tabasco;CANAPÉS QUENTES;
COQUETEL VOLANTE VIP;Pelota de 4 Queijos;CANAPÉS QUENTES;
COQUETEL VOLANTE VIP;Coxinha Cremosa com Molho Barbecue;CANAPÉS QUENTES;
COQUETEL VOLANTE VIP;Croqueta de Costela Desfiada ao Molho Barbecue;CANAPÉS QUENTES;
COQUETEL VOLANTE VIP;Dadinho de Tapioca com Queijo Coalho e Geleia do Chef;CANAPÉS QUENTES;
COQUETEL VOLANTE VIP;Bolinho de Bacalhau com Tabasco Verde;CANAPÉS QUENTES;
COQUETEL VOLANTE VIP;Bolinho de Bobó de Camarão com Geleia de Pimenta;CANAPÉS QUENTES;
COQUETEL VOLANTE VIP;Clássico Croquete de Carne Português;CANAPÉS QUENTES;
COQUETEL VOLANTE VIP;Kibe com Coalhada e Geléia de Hortelã;CANAPÉS QUENTES;
COQUETEL VOLANTE VIP;Pelota de Queso by ROJO com Geleia de Pimenta;CANAPÉS QUENTES;
COQUETEL VOLANTE VIP;Coxinha de Espinafre com Ricota, Mussarela, Parmesão e Brócolis;CANAPÉS QUENTES;
COQUETEL VOLANTE VIP;Empanadita Argentina de Carne;CANAPÉS QUENTES;
COQUETEL VOLANTE VIP;Empanadita de Palmito;CANAPÉS QUENTES;
COQUETEL VOLANTE VIP;Mini-Esfiha de Carne;CANAPÉS QUENTES;
COQUETEL VOLANTE VIP;Mini-Pizza de Mussarela;CANAPÉS QUENTES;
COQUETEL VOLANTE VIP;Mini-Baked Potato de Queijos Cremosos e Bacon Crispy;CANAPÉS QUENTES;
COQUETEL VOLANTE VIP;Vou au Vent de Creme de Alho Poró Caramelizado;CANAPÉS QUENTES;
COQUETEL VOLANTE VIP;Falafel com Geleia do Chef – VEGAN;CANAPÉS QUENTES;
COQUETEL VOLANTE VIP;Coxinha de Cogumelos – VEGAN;CANAPÉS QUENTES;
COQUETEL VOLANTE VIP;Dadinho de Tapioca VEGANO com Geleia de Pimenta;CANAPÉS QUENTES;
COQUETEL VOLANTE VIP;MASSAS (1 opção);;
COQUETEL VOLANTE VIP;Rigatone ao Molho Funghi Trufado;MASSAS;
COQUETEL VOLANTE VIP;Rigatone com Bechamel de Limão Siciliano, Lascas de Salmão, Cheiro Verde e Parmesão;MASSAS;
COQUETEL VOLANTE VIP;Mini-Panzotti 4 Queijos ao Molho Pomodoro com Manjericão (gorgonzola|catupiry|muçarela|parmesão);MASSAS;
COQUETEL VOLANTE VIP;Mini-Sorrentini de Ricota com Espinafre ao Molho Bechamel com Parmesão Ralado;MASSAS;
