EVENTO;ITENS;CATEGORIA;VALOR
ILHA GASTRONÔMICA STANDARD;PRATOS FRIOS (2 opções);;189
ILHA GASTRONÔMICA STANDARD;Baby Caprese com Búfala, Tomates Cereja e Pesto de Manjericão;PRATOS FRIOS;
ILHA GASTRONÔMICA STANDARD;Couscous Marroquino com Medalhões de Pupunha e Legumes Crocantes;PRATOS FRIOS;
ILHA GASTRONÔMICA STANDARD;Tartar Vegetariano de Legumes com Queijo de Cabra e Chips de Raízes;PRATOS FRIOS;
ILHA GASTRONÔMICA STANDARD;Salada de Rúcula com Mussarelinhas de Búfala e Tomate Seco;PRATOS FRIOS;
ILHA GASTRONÔMICA STANDARD;Saladinha de Grãos com Damasco e Raspas de Limão Siciliano;PRATOS FRIOS;
ILHA GASTRONÔMICA STANDARD;Ceviche de Pupunha com Manjericão Roxo, Zucchini e Melaço de Cana VEGANO;PRATOS FRIOS;
ILHA GASTRONÔMICA STANDARD;Tartar de Tomate com Legumes, Chips e Azeite de Manjericão VEGANO;PRATOS FRIOS;
ILHA GASTRONÔMICA STANDARD;PRATOS QUENTES (1 opção);;
ILHA GASTRONÔMICA STANDARD;Escondidinho de Carne com Purê de Batatas, Catupiry e Farofa Crocante;PRATOS QUENTES;
ILHA GASTRONÔMICA STANDARD;Escondidinho Vegetariano de Legumes com Purê de Mandioquinha e Catupiry;PRATOS QUENTES;
ILHA GASTRONÔMICA STANDARD;Polenta com Fonduta de Gorgonzola e Tomate Concassé;PRATOS QUENTES;
ILHA GASTRONÔMICA STANDARD;Polenta com Ragú de Linguicinha Toscana;PRATOS QUENTES;
ILHA GASTRONÔMICA STANDARD;Creme de Batatas com Gruyère e Mix de Cogumelos;PRATOS QUENTES;
ILHA GASTRONÔMICA STANDARD;Risoto Vegano de Caponata com Chips de Batata Roxa e Azeite Lemon;PRATOS QUENTES;
ILHA GASTRONÔMICA STANDARD;Fusilli com Molho de Tomate, Folhas de Manjericão Fresco e Azeite Lemon;PRATOS QUENTES;
ILHA GASTRONÔMICA STANDARD;QUEIJOS & CHARCUTERIE;;
ILHA GASTRONÔMICA STANDARD;Plateau de Queijos;QUEIJOS & CHARCUTERIE;
ILHA GASTRONÔMICA STANDARD;Castanhas do Brasil;QUEIJOS & CHARCUTERIE;
ILHA GASTRONÔMICA STANDARD;Frutas Secas;QUEIJOS & CHARCUTERIE;
ILHA GASTRONÔMICA STANDARD;Uvas Frescas;QUEIJOS & CHARCUTERIE;
ILHA GASTRONÔMICA STANDARD;SELEÇÃO DE PÃES;;
ILHA GASTRONÔMICA STANDARD;Pães Caseiros Variados;SELEÇÃO DE PÃES;
ILHA GASTRONÔMICA STANDARD;Mini-Pães Italianos;SELEÇÃO DE PÃES;
ILHA GASTRONÔMICA STANDARD;Pão de Centeio;SELEÇÃO DE PÃES;
ILHA GASTRONÔMICA STANDARD;Pão de Mandioquinha;SELEÇÃO DE PÃES;
ILHA GASTRONÔMICA STANDARD;Pão de Nozes;SELEÇÃO DE PÃES;
ILHA GASTRONÔMICA STANDARD;Pão de Azeitonas;SELEÇÃO DE PÃES;
ILHA GASTRONÔMICA STANDARD;ANTEPASTOS (2 opções);;
ILHA GASTRONÔMICA STANDARD;Ervas de Provence;ANTEPASTOS;
ILHA GASTRONÔMICA STANDARD;Azeitonas Pretas;ANTEPASTOS;
ILHA GASTRONÔMICA STANDARD;Queijos Cremosos com Alho Tostado;ANTEPASTOS;
ILHA GASTRONÔMICA STANDARD;Babaganush (vegano);ANTEPASTOS;
ILHA GASTRONÔMICA STANDARD;Homus (vegano);ANTEPASTOS;
ILHA GASTRONÔMICA STANDARD;Tomate Seco;ANTEPASTOS;
ILHA GASTRONÔMICA STANDARD;Sardela;ANTEPASTOS;
