EVENTO;ITENS;CATEGORIA;VALOR
LUNCH BOX - MICROSOFT;BEBIDAS NÃO ALCOÓLICAS (1 opção);; R$ 119,00 
LUNCH BOX - MICROSOFT;Água;BEBIDAS NÃO ALCOÓLICAS;
LUNCH BOX - MICROSOFT;Suco (Lata);BEBIDAS NÃO ALCOÓLICAS;
LUNCH BOX - MICROSOFT;Suco (Tetrapak);BEBIDAS NÃO ALCOÓLICAS;
LUNCH BOX - MICROSOFT;BOWL DE SALADA (1 opção);;
LUNCH BOX - MICROSOFT;Alface Americana, Tirinhas de Frango e Croutons, acompanha Dressing de Mostarda Dijon;BOWL DE SALADA;
LUNCH BOX - MICROSOFT;Mix de Verdes com Beterraba em Cubos e Cebola Roxa;BOWL DE SALADA;
LUNCH BOX - MICROSOFT;Mix de Verdes Orgânicos com Tomatinhos e Chips de Batata Rústica;BOWL DE SALADA;
LUNCH BOX - MICROSOFT;Salada de Verdes com Lascas de Atum, Cebola Roxa, Tomate, Batata Palha e Molho Mostarda;BOWL DE SALADA;
LUNCH BOX - MICROSOFT;Couscous Marroquino com Pupunha, Cubinhos de Legumes e Amêndoas;BOWL DE SALADA;
LUNCH BOX - MICROSOFT;Salada de Beterrava com Redução de Balsâmico, Chèvre e Nozes Caramelizadas;BOWL DE SALADA;
LUNCH BOX - MICROSOFT;Salada Caprese (Tomate, Mussarela de Búfala e Folhas de Manjericão);BOWL DE SALADA;
LUNCH BOX - MICROSOFT;Tartar Vegano de Tomate com Legumes e Chips de Batata;BOWL DE SALADA;
LUNCH BOX - MICROSOFT;BOWL QUENTINHO (1 opção);;
LUNCH BOX - MICROSOFT;Baião de Dois com Carne Seca, Cheiro Verde e Queijo Coalho;BOWL QUENTINHO;
LUNCH BOX - MICROSOFT;Picadinho de Carne com Arroz Branco, Couve e Farofinha de Pão com Cebola Torradinha;BOWL QUENTINHO;
LUNCH BOX - MICROSOFT;Capeletti de Mussarela com Molho Pomodoro, Pesto e Parmesão;BOWL QUENTINHO;
LUNCH BOX - MICROSOFT;Mac and Cheese com Cubinhos de Bacon;BOWL QUENTINHO;
LUNCH BOX - MICROSOFT;Sorrentini de Linguiça Defumada ao Molho de Tomates com Lascas de Parmesão;BOWL QUENTINHO;
LUNCH BOX - MICROSOFT;Penne ao Molho Pomodoro com Mussarela de Búfala, Azeitonas Laminadas, Tomate Seco, Manjericão e Lascas de Parmesão;BOWL QUENTINHO;
LUNCH BOX - MICROSOFT;Arroz de Costela com Castanha de Caju, Tomate Concassé e Cheiro Verde;BOWL QUENTINHO;
LUNCH BOX - MICROSOFT;Risoto de Gorgonzola com Cubinhos de Mignon;BOWL QUENTINHO;
LUNCH BOX - MICROSOFT;Risoto Caprese;BOWL QUENTINHO;
LUNCH BOX - MICROSOFT;Bobó Vegano de Abóbora com Cogumelos e Arroz de Coco com Farinha de Mandioca;BOWL QUENTINHO;
LUNCH BOX - MICROSOFT;SOBREMESA GO MAMA (POTINHO);;
LUNCH BOX - MICROSOFT;Mousse Brownie de Chocolate;SOBREMESA GO MAMA;
LUNCH BOX - MICROSOFT;Brigadeiro de Colher;SOBREMESA GO MAMA;
LUNCH BOX - MICROSOFT;Cocada Cremosa;SOBREMESA GO MAMA;
LUNCH BOX - MICROSOFT;Saladinha de Frutas da Estação;SOBREMESA GO MAMA;
LUNCH BOX - MICROSOFT;Mousse de Maracujá;SOBREMESA GO MAMA;
LUNCH BOX - MICROSOFT;KIT DE APRESENTAÇÃO;;
LUNCH BOX - MICROSOFT;Kit montado em sacola kraft com talheres biodegradáveis e guardanapo;KIT DE APRESENTAÇÃO;
